24/3/2022 7:26 | /responses.js(139) | 8neA883pWRlwpwkELsRvjwTipQ4gHtEd | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/completeForm | Request : {} | Error : Bad Request
24/3/2022 7:26 | /responses.js(139) | tlwtA1NrvLZnEWGOF8DMzf5axFQNoLhb | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/completeForm | Request : {} | Error : Bad Request
24/3/2022 7:27 | /responses.js(139) | U0kaz3wa0eFybJvUZtbQ0hQxlqcDg4oY | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/completeForm | Request : {} | Error : Bad Request
24/3/2022 7:28 | /responses.js(139) | kAjwZJ73RnDb1tJBuO90JGlpDKCTsKzo | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/completeForm | Request : {} | Error : Bad Request
24/3/2022 7:30 | /responses.js(139) | 7Phrsu6WLVTMoPn6rFERUgyZ58IqbBTZ | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/completeForm | Request : {} | Error : Bad Request
24/3/2022 7:31 | /responses.js(139) | Dc0eh0JuJhkliqnZIuSwu50ORKPIJF6p | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/completeForm | Request : {} | Error : Bad Request
24/3/2022 7:31 | /responses.js(139) | vFjA4KsgyimiCUO4r2mhgQFqyDuh1r9x | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/completeForm | Request : {} | Error : Bad Request
24/3/2022 7:31 | /responses.js(139) | Avov6oNMHKH0MbV3oQ0IWWp4F1aPwBMT | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/completeForm | Request : {} | Error : Bad Request
24/3/2022 7:31 | /responses.js(139) | VZrwuZXsqRXn42cLCprAeB8ygP0pO2iy | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/completeForm | Request : {} | Error : Bad Request
24/3/2022 7:31 | /responses.js(139) | nXtla3erkWe89tiZzSvnMaFRQSGEPabB | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/completeForm | Request : {} | Error : Bad Request
24/3/2022 7:31 | /responses.js(139) | nXXEfKeM4R9pe6lohAmVTOzt5Xe6wf5o | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/completeForm | Request : {} | Error : Bad Request
24/3/2022 7:32 | /responses.js(139) | zJfYAYnGlsfImDhiFhgbAyGYdzVi7CMi | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/completeForm | Request : {} | Error : Bad Request
24/3/2022 8:31 | /errorHandler.js(7) | QxUMhPf61P6KoQtKyKVYvJPWMs3Ef6D7 | [error] | IP - ::ffff:103.225.58.144 | URL : http://doodlebluelive.com:2122/api/v1/user/bulk | POST | Request : {} | Error : Can't find end of central directory : is this a zip file ? If it is, see https://stuk.github.io/jszip/documentation/howto/read_zip.html
24/3/2022 8:35 | /responses.js(139) | sd8UigknoBmL2WGKB1dfKMBUNHVW3oCw | [error] | URL : http://doodlebluelive.com:2122/api/v1/roles/addRole | Request : {} | Error : Bad Request
24/3/2022 8:38 | /responses.js(139) | PK4AEAFsd5qUtHgowWpWPDQAVAJO73CF | [error] | URL : http://doodlebluelive.com:2122/api/v1/roles/addRole | Request : {} | Error : Bad Request
24/3/2022 8:38 | /responses.js(139) | 1qjh9ZGDksXL8GpeaiKABYpt1BYJlcRL | [error] | URL : http://doodlebluelive.com:2122/api/v1/roles/addRole | Request : {} | Error : Bad Request
